# step time Epot/N T Pxx Pyy Pzz Lx Lz gap comF areaperlipid
0 0.0000 0.130854 1.0517 3.927506 4.745749 13.501144 13.5766 20.0002 1.10018 0.000000 1.28003
200 1.0000 -1.794637 1.1357 -0.008879 0.091212 0.169655 13.6016 20.0225 0.97664 0.000000 1.28475
400 2.0000 -1.844613 1.0493 -0.185011 -0.355717 -0.534670 13.5895 20.0060 0.91581 0.000000 1.28247
600 3.0000 -1.912597 1.0204 -0.453915 -0.260443 -0.232953 13.5670 19.9733 0.96301 0.000000 1.27821
800 4.0000 -1.987932 1.0155 -0.312894 -0.544194 -0.543851 13.5407 19.9338 1.04614 0.000000 1.27328
1000 5.0000 -2.030961 1.0181 -0.356390 -0.228023 -0.541656 13.5152 19.8975 1.02936 0.000000 1.26847
1200 6.0000 -1.999039 1.0336 -0.280068 0.037677 -0.413382 13.4941 19.8630 0.98397 0.000000 1.26452
1400 7.0000 -2.001153 1.0257 0.349306 0.064952 -0.556446 13.4854 19.8367 1.01575 0.000000 1.26290
1600 8.0000 -2.066192 1.0245 -0.132951 -0.024591 -0.603119 13.4710 19.8075 1.02812 0.000000 1.26020
1800 9.0000 -2.128660 1.0305 -0.202938 -0.264409 -0.615448 13.4523 19.7697 1.13448 0.000000 1.25669
2000 10.0000 -2.063583 1.0483 -0.042048 0.047882 -0.159247 13.4532 19.7650 1.15828 0.000000 1.25687
2200 11.0000 -2.098687 1.0312 0.100079 -0.145775 -0.188285 13.4548 19.7411 1.16448 0.000000 1.25716
2400 12.0000 -2.105356 1.0170 -0.073073 -0.052286 -0.559266 13.4537 19.7158 1.19530 0.000000 1.25696
2600 13.0000 -2.102510 1.0212 -0.228805 0.078098 -0.391636 13.4436 19.6852 1.22988 0.000000 1.25507
2800 14.0000 -2.073938 1.0421 0.303458 0.058499 -0.307107 13.4450 19.6790 1.33280 0.000000 1.25533
3000 15.0000 -2.130011 1.0297 -0.058609 -0.164176 -0.618086 13.4423 19.6584 1.24453 0.000000 1.25482
3200 16.0000 -2.252408 1.0130 -0.604090 -0.303114 -0.427622 13.4192 19.6202 1.23021 0.000000 1.25052
3400 17.0000 -2.300074 1.0216 -0.371686 -0.042028 -0.413976 13.3939 19.5810 1.16478 0.000000 1.24581
3600 18.0000 -2.364341 1.0089 -0.660483 -0.233727 -0.653959 13.3684 19.5426 1.11954 0.000000 1.24107
3800 19.0000 -2.395889 1.0114 -0.334548 -0.175742 -0.321867 13.3489 19.5057 1.28671 0.000000 1.23745
4000 20.0000 -2.469503 0.9932 -0.584876 -0.158000 -0.644779 13.3235 19.4681 1.13403 0.000000 1.23274
4200 21.0000 -2.434240 1.0039 -0.081122 0.138153 0.099173 13.3074 19.4338 1.03400 0.000000 1.22977
4400 22.0000 -2.526572 0.9986 -0.304010 -0.329926 -0.801488 13.2937 19.4001 0.96600 0.000000 1.22725
4600 23.0000 -2.503526 1.0134 0.154035 -0.062592 -0.563573 13.2816 19.3659 1.04769 0.000000 1.22501
4800 24.0000 -2.524886 1.0043 0.141564 -0.010674 -0.473745 13.2721 19.3324 1.07642 0.000000 1.22325
5000 25.0000 -2.562068 0.9828 -0.199814 -0.247659 -0.095464 13.2628 19.3005 1.08455 0.000000 1.22154
