# step time Epot/N T Pxx Pyy Pzz Lx Lz gap comF areaperlipid
0 0.0000 -2.737833 1.0397 0.897908 0.981721 17.467156 20.5234 24.0002 1.10049 0.000000 1.30003
250 1.2500 -4.247606 1.0765 -0.205986 -0.327156 -0.538035 20.5496 24.0148 0.85606 0.000000 1.30335
500 2.5000 -4.323682 1.0015 -0.543316 -0.600565 -0.712100 20.4989 23.9560 0.88658 0.000000 1.29692
750 3.7500 -4.381013 1.0065 -0.762649 -0.630662 -0.875516 20.4477 23.8962 0.98474 0.000000 1.29045
1000 5.0000 -4.406800 0.9976 -0.659303 -0.468385 -0.831459 20.3966 23.8365 1.09215 0.000000 1.28402
1250 6.2500 -4.444773 1.0078 -0.594327 -0.704507 -0.709778 20.3457 23.7770 1.07245 0.000000 1.27761
1500 7.5000 -4.470912 1.0208 -0.474520 -0.423797 -0.623593 20.2949 23.7176 1.18804 0.000000 1.27124
1750 8.7500 -4.527017 1.0011 -0.407352 -0.318306 -0.446183 20.2442 23.6584 1.27780 0.000000 1.26490
2000 10.0000 -4.591723 1.0176 -0.434347 -0.466749 -0.605372 20.1939 23.6004 1.17978 0.000000 1.25862
2250 11.2500 -4.638736 1.0084 -0.241481 -0.374332 -0.456508 20.1451 23.5420 1.20867 0.000000 1.25255
2500 12.5000 -4.650767 1.0099 -0.246618 -0.073258 -0.177480 20.1088 23.4886 1.24878 0.000000 1.24804
2750 13.7500 -4.677999 0.9982 -0.171969 -0.250139 -0.249879 20.0723 23.4391 1.24776 0.000000 1.24351
3000 15.0000 -4.713759 1.0093 -0.312781 -0.164825 -0.203143 20.0430 23.3871 1.20334 0.000000 1.23988
3250 16.2500 -4.713430 1.0104 -0.035802 -0.049502 -0.189936 20.0173 23.3439 1.22061 0.000000 1.23670
3500 17.5000 -4.764073 0.9879 -0.144775 -0.063154 -0.286266 19.9901 23.3026 1.28394 0.000000 1.23334
3750 18.7500 -4.812427 0.9825 -0.274004 -0.056520 -0.224747 19.9619 23.2613 1.13993 0.000000 1.22987
4000 20.0000 -4.821687 0.9928 -0.169632 -0.087814 -0.136370 19.9414 23.2337 1.02228 0.000000 1.22734
4250 21.2500 -4.912555 1.0149 -0.236740 -0.164566 -0.309495 19.8978 23.1779 1.05345 0.000000 1.22198
4500 22.5000 -4.938512 0.9992 -0.130453 -0.171772 -0.211037 19.8692 23.1270 1.20104 0.000000 1.21848
4750 23.7500 -4.987935 1.0118 -0.279604 -0.130421 -0.387588 19.8467 23.0814 1.14124 0.000000 1.21571
5000 25.0000 -5.017360 0.9812 -0.304757 0.142920 -0.268759 19.8208 23.0419 1.16930 0.000000 1.21254
5250 26.2500 -5.046892 1.0009 -0.103347 -0.129537 -0.109204 19.8000 22.9978 1.20639 0.000000 1.21001
5500 27.5000 -5.080397 1.0080 -0.129322 -0.114571 -0.031903 19.7861 22.9646 1.28043 0.000000 1.20830
5750 28.7500 -5.082912 0.9936 -0.006968 -0.066938 -0.294590 19.7776 22.9337 1.08459 0.000000 1.20727
6000 30.0000 -5.095204 0.9909 0.120284 -0.038889 -0.276911 19.7781 22.9052 1.12534 0.000000 1.20732
6250 31.2500 -5.113529 0.9995 -0.068081 -0.081699 -0.155916 19.7747 22.8785 1.03379 0.000000 1.20690
6500 32.5000 -5.109515 1.0168 0.118497 -0.039964 -0.152666 19.7782 22.8610 1.01565 0.000000 1.20734
6750 33.7500 -5.108040 1.0086 0.096341 0.056173 -0.071696 19.7824 22.8454 0.94633 0.000000 1.20785
7000 35.0000 -5.093287 0.9825 0.009410 0.128910 0.096154 19.7916 22.8272 0.96079 0.000000 1.20898
7250 36.2500 -5.095126 1.0001 -0.017729 0.181789 -0.040256 19.7991 22.8189 1.02852 0.000000 1.20989
7500 37.5000 -5.126271 1.0054 -0.045582 0.026784 -0.070617 19.7958 22.7986 0.97746 0.000000 1.20948
7750 38.7500 -5.142318 0.9957 -0.142282 0.098071 -0.069601 19.7949 22.7821 0.90787 0.000000 1.20938
8000 40.0000 -5.143421 0.9843 -0.016837 0.052197 -0.070122 19.7927 22.7563 0.96388 0.000000 1.20910
8250 41.2500 -5.162253 1.0018 -0.147429 0.055441 -0.121758 19.7919 22.7448 0.96360 0.000000 1.20902
8500 42.5000 -5.152190 0.9947 0.053933 -0.085324 -0.074458 19.7885 22.7297 0.97468 0.000000 1.20860
8750 43.7500 -5.158615 0.9823 0.114455 0.101433 0.027550 19.7880 22.7135 0.83126 0.000000 1.20853
9000 45.0000 -5.154176 0.9933 -0.092812 0.024156 -0.248459 19.7952 22.7039 0.86534 0.000000 1.20941
9250 46.2500 -5.148070 1.0008 0.011791 0.178684 0.157329 19.8017 22.6970 0.80842 0.000000 1.21021
9500 47.5000 -5.162997 0.9932 -0.019188 0.011859 -0.114383 19.8066 22.6819 0.90477 0.000000 1.21081
9750 48.7500 -5.159790 0.9994 -0.050009 0.014544 -0.146521 19.8112 22.6758 0.94848 0.000000 1.21137
10000 50.0000 -5.180074 0.9998 0.006158 0.091714 -0.175837 19.8123 22.6560 0.94854 0.000000 1.21150
10250 51.2500 -5.170128 0.9998 -0.108890 0.222433 -0.028781 19.8252 22.6360 0.93621 0.000000 1.21308
10500 52.5000 -5.184578 1.0006 -0.037441 -0.049929 -0.261649 19.8305 22.6236 0.95847 0.000000 1.21373
10750 53.7500 -5.178861 0.9929 0.065710 -0.051735 -0.106843 19.8295 22.6072 1.10024 0.000000 1.21361
11000 55.0000 -5.188127 1.0003 0.009846 -0.101973 0.028793 19.8304 22.5899 1.01712 0.000000 1.21372
11250 56.2500 -5.153854 1.0045 0.193250 0.256155 0.169999 19.8416 22.5779 1.01300 0.000000 1.21509
11500 57.5000 -5.158902 1.0121 0.058469 -0.006409 0.032089 19.8578 22.5811 0.99359 0.000000 1.21708
11750 58.7500 -5.144392 1.0079 0.160680 0.114627 -0.012019 19.8705 22.5837 0.95752 0.000000 1.21863
12000 60.0000 -5.159742 0.9868 0.015020 0.069529 -0.236527 19.8722 22.5609 1.06669 0.000000 1.21884
12250 61.2500 -5.178977 1.0107 -0.107033 0.013705 -0.204077 19.8703 22.5454 1.04351 0.000000 1.21860
12500 62.5000 -5.165877 1.0115 -0.045048 0.213117 0.014042 19.8753 22.5340 1.00349 0.000000 1.21922
12750 63.7500 -5.176906 0.9974 0.001509 0.096671 -0.167255 19.8797 22.5217 1.01266 0.000000 1.21976
13000 65.0000 -5.141448 0.9984 0.067555 0.189655 0.012337 19.8935 22.5120 0.99850 0.000000 1.22145
13250 66.2500 -5.160984 1.0103 0.019689 -0.036556 -0.063069 19.8998 22.5059 0.97968 0.000000 1.22223
13500 67.5000 -5.168166 1.0064 0.078328 -0.011705 -0.226102 19.9060 22.4939 0.99160 0.000000 1.22300
13750 68.7500 -5.160666 0.9944 -0.035368 0.106201 -0.095699 19.9109 22.4664 0.91541 0.000000 1.22359
14000 70.0000 -5.177679 1.0011 0.028758 0.000926 -0.186342 19.9157 22.4393 1.09436 0.000000 1.22418
14250 71.2500 -5.182038 0.9892 0.086589 0.110048 -0.076984 19.9193 22.4232 1.10572 0.000000 1.22463
14500 72.5000 -5.188241 0.9927 -0.005937 0.064419 -0.313016 19.9229 22.3937 1.08980 0.000000 1.22507
14750 73.7500 -5.186724 0.9897 -0.106757 -0.019897 0.052979 19.9262 22.3803 1.04988 0.000000 1.22547
15000 75.0000 -5.189634 0.9903 0.090561 0.027368 -0.034541 19.9285 22.3553 1.11120 0.000000 1.22575
15250 76.2500 -5.190362 0.9933 0.120352 -0.049972 -0.209369 19.9381 22.3396 1.03085 0.000000 1.22694
15500 77.5000 -5.215473 1.0165 -0.143033 0.108246 -0.293809 19.9386 22.3127 1.06883 0.000000 1.22700
15750 78.7500 -5.202603 0.9953 0.136507 0.054456 0.026118 19.9487 22.2932 1.09608 0.000000 1.22824
16000 80.0000 -5.184944 0.9888 0.175784 0.024812 -0.004248 19.9568 22.2949 0.99608 0.000000 1.22924
16250 81.2500 -5.180230 0.9991 0.056913 0.155071 0.012237 19.9634 22.2858 0.94058 0.000000 1.23006
16500 82.5000 -5.192104 1.0064 -0.130721 -0.124983 -0.100867 19.9745 22.2660 1.07604 0.000000 1.23143
