# step time Epot/N T Pxx Pyy Pzz Lx Lz gap comF areaperlipid
0 0.0000 1575.077541 0.9985 13325.901178 1491.313062 2137.515529 14.0072 17.2602 0.85855 0.000000 1.36251
100 0.5000 -1.326963 1.1774 5.081006 -11.197955 4.532946 13.9943 17.2704 0.90559 0.000000 1.36000
200 1.0000 -0.790575 1.3531 7.371052 7.198654 7.348629 14.0035 17.2807 1.10251 0.000000 1.36180
300 1.5000 -0.073288 1.4973 9.811553 10.292777 10.439295 14.0176 17.2980 1.07083 0.000000 1.36453
400 2.0000 0.735952 1.5514 12.611609 12.701298 12.553826 14.0316 17.3153 1.21591 0.000000 1.36726
500 2.5000 0.974575 1.6258 12.665089 13.866218 13.994786 14.0456 17.3327 1.46320 0.000000 1.37000
600 3.0000 1.293391 1.6032 13.805080 14.466697 12.894849 14.0597 17.3500 1.49070 0.000000 1.37274
700 3.5000 1.246931 1.6969 13.824780 14.015913 13.521511 14.0737 17.3674 1.62488 0.000000 1.37549
800 4.0000 1.656505 1.6995 15.088336 14.008601 14.143511 14.0878 17.3847 1.77647 0.000000 1.37824
900 4.5000 1.291910 1.6787 13.579576 12.517631 13.499925 14.1019 17.4021 1.65293 0.000000 1.38100
1000 5.0000 1.469193 1.6744 13.143687 13.315346 13.907868 14.1160 17.4195 1.65783 0.000000 1.38376
1100 5.5000 1.455795 1.6626 12.762653 13.447261 14.444388 14.1301 17.4370 1.76251 0.000000 1.38653
1200 6.0000 1.251415 1.7088 11.773963 12.690438 11.597342 14.1443 17.4544 1.81475 0.000000 1.38931
1300 6.5000 1.535951 1.6457 14.049551 13.370571 13.299298 14.1584 17.4719 1.97822 0.000000 1.39209
1400 7.0000 1.506684 1.6823 13.452425 12.690899 13.878143 14.1726 17.4893 1.86191 0.000000 1.39488
1500 7.5000 1.083969 1.7090 11.794738 10.808821 11.234883 14.1868 17.5068 1.82568 0.000000 1.39767
