# step time Epot/N T Pxx Pyy Pzz Lx Lz gap comF areaperlipid
0 0.0000 -2.600777 0.9885 -0.085962 -0.169510 -0.023703 14.0070 17.2602 0.81893 0.000000 1.36247
100 0.5000 -2.598880 0.9850 -0.111328 -0.096228 -0.136065 14.0006 17.2775 0.85322 0.000000 1.36123
200 1.0000 -2.602147 0.9936 0.205515 -0.081662 0.074900 14.0003 17.2948 0.83490 0.000000 1.36117
300 1.5000 -2.590076 0.9910 0.092823 0.050148 -0.177352 14.0040 17.3121 0.85021 0.000000 1.36188
400 2.0000 -2.568042 0.9875 0.092096 0.167816 0.017088 14.0017 17.3294 1.00136 0.000000 1.36144
500 2.5000 -2.592340 0.9947 -0.237313 -0.137709 -0.545179 13.9990 17.3467 0.96775 0.000000 1.36092
600 3.0000 -2.576360 1.0013 -0.113688 0.000338 0.012391 13.9945 17.3641 0.95693 0.000000 1.36004
700 3.5000 -2.572899 1.0058 0.124491 -0.164021 -0.193896 13.9941 17.3815 0.87460 0.000000 1.35997
800 4.0000 -2.561290 1.0038 -0.483767 -0.102452 0.086225 13.9921 17.3989 0.91070 0.000000 1.35959
900 4.5000 -2.559724 1.0074 -0.165436 -0.205234 -0.505335 13.9866 17.4163 0.92217 0.000000 1.35851
1000 5.0000 -2.558490 0.9763 -0.204072 -0.069203 -0.115151 13.9832 17.4337 0.91337 0.000000 1.35785
1100 5.5000 -2.557589 0.9990 -0.057757 -0.256905 -0.091255 13.9753 17.4511 0.88990 0.000000 1.35630
1200 6.0000 -2.526099 0.9874 -0.059818 0.297033 0.159971 13.9705 17.4686 0.90961 0.000000 1.35538
1300 6.5000 -2.547746 0.9877 0.071306 -0.168483 -0.591116 13.9663 17.4861 0.92311 0.000000 1.35457
1400 7.0000 -2.519990 0.9905 -0.172197 -0.090118 -0.374563 13.9609 17.5036 0.86300 0.000000 1.35352
1500 7.5000 -2.517556 0.9978 -0.136580 0.132434 -0.228806 13.9559 17.5211 0.91256 0.000000 1.35255
1600 8.0000 -2.545479 1.0199 0.045104 -0.341928 -0.100182 13.9515 17.5386 0.87971 0.000000 1.35170
1700 8.5000 -2.526374 0.9813 -0.229743 0.217845 -0.049895 13.9451 17.5561 0.80239 0.000000 1.35045
1800 9.0000 -2.524644 0.9976 -0.194187 -0.243955 -0.175748 13.9392 17.5737 0.79138 0.000000 1.34931
1900 9.5000 -2.524050 0.9885 0.018541 -0.231818 -0.078442 13.9348 17.5913 0.84636 0.000000 1.34847
2000 10.0000 -2.499442 1.0119 0.039778 -0.087424 0.349653 13.9322 17.6089 0.86380 0.000000 1.34796
2100 10.5000 -2.526173 1.0123 -0.140877 -0.287602 -0.241937 13.9257 17.6265 0.87445 0.000000 1.34670
2200 11.0000 -2.542364 1.0070 -0.272908 -0.014087 -0.049673 13.9151 17.6441 0.86003 0.000000 1.34466
2300 11.5000 -2.546513 1.0156 -0.247056 -0.097335 -0.163929 13.9089 17.6618 0.88451 0.000000 1.34345
2400 12.0000 -2.538903 0.9816 -0.103692 -0.396203 -0.266532 13.9017 17.6795 0.91363 0.000000 1.34206
2500 12.5000 -2.545511 0.9780 -0.263614 0.038785 -0.198238 13.8921 17.6972 0.87052 0.000000 1.34021
2600 13.0000 -2.536093 0.9830 0.095528 -0.217080 -0.214793 13.8861 17.7149 0.86117 0.000000 1.33906
2700 13.5000 -2.499109 0.9722 0.152207 -0.150592 -0.112681 13.8795 17.7326 0.81400 0.000000 1.33778
2800 14.0000 -2.516822 1.0011 -0.058720 0.126336 0.215339 13.8781 17.7503 0.82949 0.000000 1.33751
2900 14.5000 -2.539594 1.0058 -0.161885 -0.320786 -0.149075 13.8713 17.7681 0.80065 0.000000 1.33620
3000 15.0000 -2.550982 1.0034 -0.239342 -0.402433 -0.613490 13.8624 17.7859 0.83797 0.000000 1.33449
3100 15.5000 -2.538866 0.9925 -0.341105 0.039675 0.188306 13.8554 17.8037 0.80726 0.000000 1.33315
3200 16.0000 -2.544154 0.9933 0.042947 -0.092503 -0.311332 13.8457 17.8215 0.87582 0.000000 1.33127
3300 16.5000 -2.530721 1.0027 -0.135312 0.019381 0.295691 13.8461 17.8393 0.89591 0.000000 1.33134
3400 17.0000 -2.547853 0.9804 -0.348768 -0.169249 -0.533796 13.8398 17.8572 0.84885 0.000000 1.33014
3500 17.5000 -2.531721 1.0032 -0.086823 -0.326649 -0.518309 13.8339 17.8750 0.85914 0.000000 1.32900
3600 18.0000 -2.530096 1.0133 -0.234903 -0.538638 -0.661129 13.8247 17.8929 0.90135 0.000000 1.32724
3700 18.5000 -2.519586 0.9906 0.028233 -0.139792 -0.067559 13.8185 17.9108 0.92000 0.000000 1.32606
3800 19.0000 -2.519431 1.0063 -0.130899 -0.229946 -0.045757 13.8173 17.9287 0.96140 0.000000 1.32581
3900 19.5000 -2.501030 1.0164 0.136908 0.185459 -0.130494 13.8200 17.9467 0.89779 0.000000 1.32633
4000 20.0000 -2.527935 0.9996 -0.119283 -0.159527 -0.586622 13.8185 17.9646 0.85369 0.000000 1.32604
4100 20.5000 -2.507035 0.9842 -0.225222 0.153706 -0.519641 13.8100 17.9826 0.86371 0.000000 1.32442
4200 21.0000 -2.533556 0.9827 -0.161028 -0.121381 -0.576412 13.8006 18.0006 0.88670 0.000000 1.32262
4300 21.5000 -2.534545 0.9661 -0.300142 -0.209935 -0.672697 13.7902 18.0186 0.85742 0.000000 1.32062
4400 22.0000 -2.540976 1.0085 -0.390541 -0.374381 -0.373562 13.7801 18.0366 0.88675 0.000000 1.31869
4500 22.5000 -2.531541 1.0062 -0.238918 -0.138472 -0.148727 13.7688 18.0547 0.86182 0.000000 1.31653
4600 23.0000 -2.546600 0.9955 -0.394692 -0.138387 -0.756133 13.7594 18.0727 0.87179 0.000000 1.31473
4700 23.5000 -2.537697 0.9909 0.103954 -0.091865 -0.192503 13.7515 18.0908 0.91969 0.000000 1.31322
4800 24.0000 -2.527531 0.9848 0.125726 -0.163546 -0.257946 13.7447 18.1089 0.86827 0.000000 1.31193
4900 24.5000 -2.567246 0.9777 -0.094773 -0.140115 -0.300931 13.7355 18.1270 0.93707 0.000000 1.31018
5000 25.0000 -2.573560 0.9937 -0.121931 -0.519943 -0.286418 13.7260 18.1452 0.92175 0.000000 1.30835
5100 25.5000 -2.557797 0.9915 -0.341882 -0.399785 -0.180504 13.7151 18.1633 0.93780 0.000000 1.30627
5200 26.0000 -2.559236 0.9972 -0.340145 -0.152786 -0.393557 13.7079 18.1815 0.95166 0.000000 1.30492
5300 26.5000 -2.557316 1.0067 -0.224633 -0.308339 -0.334451 13.6968 18.1997 1.02448 0.000000 1.30280
5400 27.0000 -2.550031 1.0152 -0.042613 -0.124974 -0.043159 13.6914 18.2179 0.99625 0.000000 1.30177
5500 27.5000 -2.558398 1.0050 -0.334170 -0.147069 -0.079204 13.6849 18.2361 0.98483 0.000000 1.30053
5600 28.0000 -2.526888 1.0098 0.053956 -0.295190 -0.681194 13.6797 18.2544 0.92349 0.000000 1.29955
5700 28.5000 -2.540285 0.9909 -0.241938 -0.082721 -0.605744 13.6733 18.2726 0.94072 0.000000 1.29832
5800 29.0000 -2.539277 1.0071 -0.224001 -0.193654 -0.484861 13.6651 18.2909 0.88760 0.000000 1.29676
5900 29.5000 -2.542185 1.0113 -0.110182 -0.029381 -0.207483 13.6592 18.3092 0.81062 0.000000 1.29565
6000 30.0000 -2.530557 1.0210 -0.155783 -0.206266 -0.493461 13.6579 18.3275 0.84258 0.000000 1.29540
6100 30.5000 -2.512370 0.9929 -0.361500 -0.087201 -0.569664 13.6519 18.3459 0.94897 0.000000 1.29427
