# step time Epot/N T Pxx Pyy Pzz Lx Lz gap comF areaperlipid
0 0.0000 -2.599931 1.0261 -0.017077 -0.108563 0.002471 14.0070 17.2600 0.82138 0.000000 1.36248
100 0.5000 -2.553144 1.0083 0.068408 0.275959 -0.034017 14.0107 17.2586 0.88966 0.000000 1.36320
200 1.0000 -2.535560 1.0194 0.090253 0.192070 0.311859 14.0142 17.2654 0.84616 0.000000 1.36388
300 1.5000 -2.543116 1.0108 -0.001353 0.014718 0.183995 14.0212 17.2700 0.88868 0.000000 1.36524
400 2.0000 -2.573119 1.0144 -0.250681 0.041018 -0.244406 14.0215 17.2745 0.92312 0.000000 1.36530
500 2.5000 -2.567567 0.9750 -0.469853 0.323492 0.049882 14.0194 17.2732 0.87745 0.000000 1.36488
600 3.0000 -2.556985 0.9867 0.139722 -0.170064 0.029447 14.0196 17.2684 0.96549 0.000000 1.36493
700 3.5000 -2.570284 0.9773 -0.338546 0.014274 0.137100 14.0149 17.2632 0.89884 0.000000 1.36400
800 4.0000 -2.625706 0.9833 0.144432 -0.127795 0.001296 14.0069 17.2570 0.89167 0.000000 1.36245
900 4.5000 -2.622777 0.9884 0.002770 0.304597 -0.417939 14.0052 17.2491 0.89179 0.000000 1.36213
1000 5.0000 -2.647431 0.9862 -0.005800 0.054866 -0.270088 14.0048 17.2366 0.85561 0.000000 1.36204
1100 5.5000 -2.609851 1.0036 0.129654 0.069428 0.031525 14.0031 17.2343 0.81394 0.000000 1.36171
1200 6.0000 -2.584533 0.9822 0.121952 0.417864 -0.124380 14.0058 17.2355 0.79174 0.000000 1.36224
1300 6.5000 -2.612149 0.9829 -0.086523 0.077023 -0.384939 14.0059 17.2266 0.78217 0.000000 1.36225
1400 7.0000 -2.620805 0.9883 -0.224628 0.161772 -0.354908 14.0047 17.2213 0.84298 0.000000 1.36203
1500 7.5000 -2.622356 0.9747 -0.163343 0.169536 0.086545 14.0061 17.2244 0.76485 0.000000 1.36230
1600 8.0000 -2.638811 0.9874 -0.281830 -0.031254 -0.156127 14.0040 17.2237 0.84704 0.000000 1.36189
1700 8.5000 -2.609423 0.9866 0.064592 0.008229 0.069674 14.0043 17.2271 0.82508 0.000000 1.36194
1800 9.0000 -2.621549 0.9953 -0.049480 0.241348 -0.305088 14.0075 17.2162 0.79294 0.000000 1.36256
1900 9.5000 -2.601579 0.9915 0.166395 0.155526 -0.150390 14.0097 17.2143 0.79247 0.000000 1.36300
2000 10.0000 -2.621880 1.0025 -0.104740 0.103997 0.269503 14.0131 17.2103 0.79655 0.000000 1.36366
2100 10.5000 -2.611953 0.9966 -0.026560 -0.045561 -0.213107 14.0133 17.2029 0.85663 0.000000 1.36370
2200 11.0000 -2.603200 1.0006 0.206408 -0.158392 -0.249082 14.0106 17.2054 0.81921 0.000000 1.36317
2300 11.5000 -2.628005 1.0137 -0.155022 0.137679 -0.135120 14.0089 17.2050 0.87293 0.000000 1.36284
2400 12.0000 -2.577335 1.0069 0.081482 -0.030516 -0.027366 14.0085 17.2131 0.89930 0.000000 1.36277
2500 12.5000 -2.547588 1.0046 0.117595 0.345795 0.074939 14.0105 17.2104 0.83567 0.000000 1.36315
2600 13.0000 -2.561333 0.9909 0.049868 0.163899 0.146835 14.0136 17.2142 0.88230 0.000000 1.36376
2700 13.5000 -2.595473 0.9976 -0.018613 0.016419 0.058472 14.0131 17.2173 0.82418 0.000000 1.36366
2800 14.0000 -2.619342 1.0215 -0.123028 -0.355103 -0.232007 14.0117 17.2186 0.83313 0.000000 1.36338
2900 14.5000 -2.601055 0.9941 -0.040783 0.157453 0.272713 14.0118 17.2182 0.87990 0.000000 1.36340
3000 15.0000 -2.624945 0.9867 -0.085571 -0.133558 -0.096195 14.0049 17.2145 0.86395 0.000000 1.36207
3100 15.5000 -2.616594 0.9905 0.002532 0.080195 0.266073 14.0046 17.2199 0.84060 0.000000 1.36201
3200 16.0000 -2.621332 1.0181 -0.015383 0.211753 0.008080 14.0057 17.2166 0.85584 0.000000 1.36222
3300 16.5000 -2.610374 0.9960 -0.023060 -0.093122 -0.568823 14.0084 17.2128 0.92231 0.000000 1.36274
3400 17.0000 -2.596814 0.9835 0.125622 -0.080248 0.125701 14.0079 17.2147 0.90208 0.000000 1.36265
3500 17.5000 -2.608912 0.9924 0.056860 -0.250645 0.198227 14.0070 17.2176 0.87786 0.000000 1.36248
3600 18.0000 -2.655493 0.9961 -0.307645 0.087168 0.027459 14.0056 17.2216 0.84148 0.000000 1.36220
3700 18.5000 -2.621865 1.0010 0.018468 -0.155083 0.217745 14.0010 17.2233 0.84432 0.000000 1.36130
3800 19.0000 -2.614912 1.0094 -0.106130 -0.109885 0.095355 13.9989 17.2279 0.76624 0.000000 1.36090
3900 19.5000 -2.591129 0.9968 0.127576 0.140656 0.019871 13.9995 17.2315 0.71784 0.000000 1.36102
4000 20.0000 -2.590077 1.0070 0.155164 0.234423 0.045400 14.0025 17.2388 0.79028 0.000000 1.36159
4100 20.5000 -2.603760 1.0337 -0.045321 -0.048802 -0.114552 14.0062 17.2435 0.84068 0.000000 1.36232
4200 21.0000 -2.583780 0.9944 0.121858 0.068649 -0.007530 14.0096 17.2491 0.78615 0.000000 1.36298
4300 21.5000 -2.619909 0.9955 -0.055869 -0.132936 0.097007 14.0088 17.2432 0.76472 0.000000 1.36282
4400 22.0000 -2.621372 1.0218 -0.052334 -0.089558 -0.514448 14.0092 17.2396 0.75893 0.000000 1.36289
4500 22.5000 -2.563015 0.9827 0.085781 0.060812 0.089338 14.0125 17.2457 0.75072 0.000000 1.36354
4600 23.0000 -2.559251 1.0087 0.092475 0.064188 0.065353 14.0142 17.2498 0.72855 0.000000 1.36388
4700 23.5000 -2.578916 1.0164 0.115634 0.068467 0.080819 14.0163 17.2541 0.76306 0.000000 1.36428
