# step time Epot/N T Pxx Pyy Pzz Lx Lz gap comF areaperlipid
0 0.0000 -2.591983 0.9829 -0.067761 -0.098153 -0.082690 14.0070 17.2600 0.82084 225.304450 1.36247
100 0.5000 -2.450205 1.0119 0.634811 0.317484 0.177441 14.0194 17.2736 0.86722 166.170654 1.36488
200 1.0000 -2.455352 1.0303 -0.069620 0.189073 0.187721 14.0320 17.2859 0.93723 89.271209 1.36733
300 1.5000 -2.364288 1.0181 0.256331 0.470595 0.774707 14.0436 17.3001 1.00877 129.675983 1.36961
400 2.0000 -2.344720 1.0278 0.485719 0.025931 0.425380 14.0577 17.3168 0.96114 96.065080 1.37234
500 2.5000 -2.309315 1.0227 0.283274 0.166485 0.831101 14.0701 17.3325 0.93825 75.196089 1.37478
600 3.0000 -2.403707 1.0699 0.092975 0.177715 -0.104458 14.0745 17.3354 0.93237 81.104326 1.37563
700 3.5000 -2.400975 1.0586 0.119648 0.232296 0.528397 14.0804 17.3334 0.93103 121.274587 1.37680
800 4.0000 -2.449330 1.0492 -0.019675 -0.178940 -0.006525 14.0775 17.3268 0.92107 119.497582 1.37621
900 4.5000 -2.436348 0.9926 -0.067788 -0.055908 0.163278 14.0758 17.3203 0.79389 171.055723 1.37590
1000 5.0000 -2.502463 1.0129 -0.184467 -0.428196 -0.317028 14.0687 17.3162 0.80411 152.656992 1.37450
1100 5.5000 -2.490438 1.0230 -0.286068 0.086366 -0.041525 14.0640 17.3145 0.77880 172.813238 1.37358
1200 6.0000 -2.491030 1.0048 -0.020817 -0.010556 0.128454 14.0594 17.3081 0.78906 188.983138 1.37269
1300 6.5000 -2.507677 1.0097 -0.048066 0.012978 -0.144878 14.0559 17.3033 0.79274 173.523032 1.37200
1400 7.0000 -2.514009 0.9914 0.141276 -0.174563 -0.376781 14.0518 17.2938 0.87797 154.304208 1.37121
1500 7.5000 -2.510652 1.0008 0.132855 -0.059267 -0.289542 14.0480 17.2881 0.79677 170.144532 1.37045
1600 8.0000 -2.512118 0.9971 -0.055656 -0.025554 0.164285 14.0456 17.2764 0.77495 177.739286 1.36998
1700 8.5000 -2.557280 1.0097 -0.455102 -0.206349 -0.283114 14.0388 17.2757 0.81600 153.575795 1.36867
1800 9.0000 -2.579926 1.0300 -0.255735 -0.025909 -0.266584 14.0323 17.2745 0.84434 186.322752 1.36739
1900 9.5000 -2.544834 0.9885 -0.097100 0.052082 -0.208356 14.0335 17.2641 0.83529 138.440231 1.36762
2000 10.0000 -2.591898 1.0024 -0.272939 -0.116455 -0.241749 14.0307 17.2494 0.83469 164.339316 1.36710
2100 10.5000 -2.588457 1.0111 -0.107568 -0.212920 -0.667121 14.0284 17.2392 0.84678 141.303223 1.36665
2200 11.0000 -2.590530 0.9942 0.349157 -0.039925 -0.243888 14.0209 17.2274 0.89909 133.858888 1.36517
2300 11.5000 -2.565477 0.9791 0.123295 0.048975 0.192815 14.0189 17.2262 0.78598 128.686427 1.36478
2400 12.0000 -2.594226 1.0182 -0.085102 -0.002831 -0.242723 14.0184 17.2307 0.79713 148.815615 1.36469
2500 12.5000 -2.564065 1.0297 0.280441 -0.151622 -0.304964 14.0198 17.2248 0.75050 170.668728 1.36496
2600 13.0000 -2.552595 1.0007 0.144974 -0.179853 -0.194204 14.0245 17.2268 0.81481 154.697274 1.36588
2700 13.5000 -2.584277 1.0016 0.085054 -0.101224 -0.302475 14.0224 17.2234 0.80959 125.672163 1.36548
2800 14.0000 -2.581272 0.9896 -0.035092 -0.027373 -0.500109 14.0213 17.2164 0.75586 136.209976 1.36526
2900 14.5000 -2.638669 0.9920 0.004966 -0.051959 -0.173109 14.0175 17.2080 0.86320 136.847049 1.36452
3000 15.0000 -2.580336 0.9709 -0.159304 0.307652 0.282327 14.0165 17.2025 0.87177 173.403463 1.36431
3100 15.5000 -2.585230 1.0034 -0.060247 0.257971 -0.331571 14.0184 17.2073 0.88571 159.728459 1.36468
3200 16.0000 -2.566366 1.0012 -0.070818 0.350944 -0.010347 14.0222 17.2131 0.88482 148.010749 1.36543
3300 16.5000 -2.562916 1.0001 0.191821 0.068701 0.117677 14.0280 17.2154 0.88565 140.701729 1.36656
3400 17.0000 -2.567350 0.9988 0.057579 0.030196 -0.015038 14.0291 17.2076 0.88651 103.913397 1.36677
3500 17.5000 -2.595897 1.0085 0.083159 -0.056808 -0.282480 14.0248 17.2003 0.88056 109.255415 1.36594
3600 18.0000 -2.577447 0.9895 0.233507 -0.066039 -0.094924 14.0275 17.1967 0.87979 149.420507 1.36647
3700 18.5000 -2.593623 0.9831 0.065470 -0.048123 -0.319704 14.0271 17.1885 0.90414 147.775547 1.36639
3800 19.0000 -2.619740 0.9605 0.118707 -0.148077 0.159049 14.0213 17.1839 0.92267 161.582435 1.36526
3900 19.5000 -2.640267 0.9927 -0.205848 -0.102137 0.081404 14.0151 17.1836 0.79354 162.875491 1.36404
4000 20.0000 -2.631699 0.9795 0.298364 -0.072565 0.516583 14.0154 17.1877 0.93888 131.742471 1.36410
4100 20.5000 -2.604264 1.0053 0.091277 -0.004382 -0.171894 14.0168 17.1825 0.94314 148.915399 1.36439
4200 21.0000 -2.634114 1.0011 -0.053128 0.079802 -0.515646 14.0194 17.1803 0.87296 147.528692 1.36489
4300 21.5000 -2.586807 0.9548 0.308896 0.207040 -0.091333 14.0206 17.1837 0.92247 168.731567 1.36512
