# step time Epot/N T Pxx Pyy Pzz Lx Lz gap comF areaperlipid
0 0.0000 -5.406724 1.1745 6.621752 6.937375 6.558332 19.1827 57.5482 0.00000 0.000000 0.00000
200 1.0000 -8.015554 1.2843 -0.151320 -0.145277 -0.126629 19.1827 57.5482 0.00000 0.000000 0.00000
400 2.0000 -7.990653 1.0468 -0.480461 -0.419600 -0.391688 19.1827 57.5482 0.00000 0.000000 0.00000
600 3.0000 -8.094462 1.0329 -0.368435 -0.383630 -0.265800 19.1827 57.5482 0.00000 0.000000 0.00000
800 4.0000 -8.269037 1.0526 -0.366870 -0.306030 -0.209954 19.1827 57.5482 0.00000 0.000000 0.00000
1000 5.0000 -8.424329 1.0446 -0.271787 -0.249826 -0.160003 19.1827 57.5482 0.00000 0.000000 0.00000
1200 6.0000 -8.550184 1.0296 -0.196805 -0.233336 -0.131075 19.1827 57.5482 0.00000 0.000000 0.00000
1400 7.0000 -8.689652 1.0179 -0.192032 -0.184418 -0.183860 19.1827 57.5482 0.00000 0.000000 0.00000
1600 8.0000 -8.749026 1.0239 -0.146757 -0.087405 -0.003080 19.1827 57.5482 0.00000 0.000000 0.00000
1800 9.0000 -8.824535 1.0303 -0.058344 -0.142504 0.033905 19.1827 57.5482 0.00000 0.000000 0.00000
2000 10.0000 -8.873279 1.0156 -0.074042 -0.049452 0.021660 19.1827 57.5482 0.00000 0.000000 0.00000
2200 11.0000 -8.898209 0.9904 -0.105805 -0.053511 0.016492 19.1827 57.5482 0.00000 0.000000 0.00000
2400 12.0000 -8.901261 0.9956 -0.091756 -0.085458 -0.041202 19.1827 57.5482 0.00000 0.000000 0.00000
2600 13.0000 -8.925570 1.0108 -0.101936 -0.140234 -0.037216 19.1827 57.5482 0.00000 0.000000 0.00000
2800 14.0000 -8.935554 1.0026 -0.036845 -0.075673 -0.020779 19.1827 57.5482 0.00000 0.000000 0.00000
3000 15.0000 -8.956068 1.0055 -0.061147 -0.083020 -0.022676 19.1827 57.5482 0.00000 0.000000 0.00000
3200 16.0000 -8.939130 0.9885 -0.089459 -0.050113 -0.005970 19.1827 57.5482 0.00000 0.000000 0.00000
3400 17.0000 -8.938920 0.9868 -0.101717 -0.091937 0.040185 19.1827 57.5482 0.00000 0.000000 0.00000
3600 18.0000 -8.970700 0.9919 -0.046844 -0.088655 -0.028382 19.1827 57.5482 0.00000 0.000000 0.00000
3800 19.0000 -8.987016 0.9955 -0.068248 -0.063102 0.019504 19.1827 57.5482 0.00000 0.000000 0.00000
4000 20.0000 -8.952526 1.0112 -0.030833 -0.019270 0.034597 19.1827 57.5482 0.00000 0.000000 0.00000
4200 21.0000 -8.966948 0.9913 -0.068809 -0.054336 -0.015635 19.1827 57.5482 0.00000 0.000000 0.00000
4400 22.0000 -8.996488 1.0023 -0.037620 -0.075192 -0.016608 19.1827 57.5482 0.00000 0.000000 0.00000
4600 23.0000 -8.990126 0.9971 -0.087042 -0.062003 0.002082 19.1827 57.5482 0.00000 0.000000 0.00000
4800 24.0000 -8.976512 0.9843 -0.022420 -0.040370 0.018094 19.1827 57.5482 0.00000 0.000000 0.00000
5000 25.0000 -8.967947 1.0024 -0.048385 -0.106115 0.030751 19.1827 57.5482 0.00000 0.000000 0.00000
5200 26.0000 -8.937501 0.9982 -0.064013 -0.059207 0.007254 19.1827 57.5482 0.00000 0.000000 0.00000
5400 27.0000 -8.955592 1.0039 -0.093150 -0.091084 -0.018065 19.1827 57.5482 0.00000 0.000000 0.00000
5600 28.0000 -8.944567 1.0021 0.010803 -0.114187 0.009343 19.1827 57.5482 0.00000 0.000000 0.00000
5800 29.0000 -8.949032 1.0072 -0.051619 -0.067677 0.001600 19.1827 57.5482 0.00000 0.000000 0.00000
6000 30.0000 -8.940891 1.0075 -0.011321 -0.070762 0.010390 19.1827 57.5482 0.00000 0.000000 0.00000
6200 31.0000 -8.909015 1.0182 -0.089229 -0.032882 0.009020 19.1827 57.5482 0.00000 0.000000 0.00000
6400 32.0000 -8.918327 1.0106 -0.125615 -0.081359 -0.037492 19.1827 57.5482 0.00000 0.000000 0.00000
6600 33.0000 -8.927725 1.0118 -0.133492 -0.054509 -0.026311 19.1827 57.5482 0.00000 0.000000 0.00000
6800 34.0000 -8.916466 0.9963 -0.075935 -0.066167 0.046621 19.1827 57.5482 0.00000 0.000000 0.00000
7000 35.0000 -8.917574 0.9990 -0.088616 -0.079450 0.004914 19.1827 57.5482 0.00000 0.000000 0.00000
7200 36.0000 -8.928074 0.9964 -0.050009 -0.035386 -0.008450 19.1827 57.5482 0.00000 0.000000 0.00000
7400 37.0000 -8.949862 0.9940 -0.087263 -0.033697 0.018059 19.1827 57.5482 0.00000 0.000000 0.00000
7600 38.0000 -8.966624 0.9929 -0.129682 -0.127299 -0.049618 19.1827 57.5482 0.00000 0.000000 0.00000
7800 39.0000 -8.960037 0.9952 -0.144897 -0.032263 -0.022103 19.1827 57.5482 0.00000 0.000000 0.00000
8000 40.0000 -8.937463 0.9792 -0.116519 -0.144044 -0.033878 19.1827 57.5482 0.00000 0.000000 0.00000
8200 41.0000 -8.922595 0.9921 -0.073682 -0.078335 0.057932 19.1827 57.5482 0.00000 0.000000 0.00000
8400 42.0000 -8.951600 0.9831 -0.094973 -0.098474 0.067074 19.1827 57.5482 0.00000 0.000000 0.00000
8600 43.0000 -8.969984 0.9993 -0.071592 -0.123860 0.029992 19.1827 57.5482 0.00000 0.000000 0.00000
8800 44.0000 -8.965358 1.0050 -0.096120 -0.111110 -0.022468 19.1827 57.5482 0.00000 0.000000 0.00000
9000 45.0000 -8.931988 0.9980 -0.011108 -0.045831 -0.003366 19.1827 57.5482 0.00000 0.000000 0.00000
9200 46.0000 -8.968534 1.0092 -0.097842 -0.101129 0.014812 19.1827 57.5482 0.00000 0.000000 0.00000
9400 47.0000 -8.963485 0.9912 -0.032782 -0.102743 0.024838 19.1827 57.5482 0.00000 0.000000 0.00000
9600 48.0000 -8.968244 0.9967 0.002286 -0.016029 0.032663 19.1827 57.5482 0.00000 0.000000 0.00000
9800 49.0000 -8.973812 0.9890 -0.084133 -0.078066 0.005174 19.1827 57.5482 0.00000 0.000000 0.00000
10000 50.0000 -8.969144 0.9940 -0.043079 -0.126585 -0.040106 19.1827 57.5482 0.00000 0.000000 0.00000
10200 51.0000 -8.933211 0.9866 -0.039803 0.021644 0.025770 19.1827 57.5482 0.00000 0.000000 0.00000
10400 52.0000 -8.945841 1.0173 -0.057143 -0.065225 -0.040663 19.1827 57.5482 0.00000 0.000000 0.00000
10600 53.0000 -8.931346 1.0042 -0.122104 -0.103920 -0.005335 19.1827 57.5482 0.00000 0.000000 0.00000
10800 54.0000 -8.905752 1.0139 -0.036860 -0.106828 -0.056287 19.1827 57.5482 0.00000 0.000000 0.00000
11000 55.0000 -8.924492 0.9880 -0.064715 -0.096331 -0.002106 19.1827 57.5482 0.00000 0.000000 0.00000
