# step time Epot/N T Pxx Pyy Pzz Lx Lz gap comF areaperlipid
0 0.0000 -5.406270 1.0705 6.596765 6.897621 6.536399 19.1827 57.5482 0.00000 0.000000 0.00000
200 1.0000 -8.248471 1.0986 -0.139815 -0.129325 -0.120777 19.1827 57.5482 0.00000 0.000000 0.00000
400 2.0000 -8.248346 0.9918 -0.405811 -0.378783 -0.311815 19.1827 57.5482 0.00000 0.000000 0.00000
600 3.0000 -8.326766 1.0018 -0.303904 -0.324560 -0.261518 19.1827 57.5482 0.00000 0.000000 0.00000
800 4.0000 -8.457736 1.0161 -0.238197 -0.230402 -0.100190 19.1827 57.5482 0.00000 0.000000 0.00000
1000 5.0000 -8.544975 0.9829 -0.146708 -0.170378 -0.056038 19.1827 57.5482 0.00000 0.000000 0.00000
1200 6.0000 -8.680387 1.0213 -0.129449 -0.132784 -0.027754 19.1827 57.5482 0.00000 0.000000 0.00000
1400 7.0000 -8.760110 1.0237 -0.155923 -0.121888 -0.035312 19.1827 57.5482 0.00000 0.000000 0.00000
1600 8.0000 -8.793470 1.0155 -0.074873 -0.135314 -0.033160 19.1827 57.5482 0.00000 0.000000 0.00000
1800 9.0000 -8.856169 1.0168 -0.140625 -0.075199 0.032383 19.1827 57.5482 0.00000 0.000000 0.00000
2000 10.0000 -8.890221 1.0119 -0.096558 -0.060376 -0.001137 19.1827 57.5482 0.00000 0.000000 0.00000
2200 11.0000 -8.929219 0.9953 -0.080735 -0.128989 -0.004350 19.1827 57.5482 0.00000 0.000000 0.00000
2400 12.0000 -8.925239 1.0095 -0.083953 -0.063802 -0.033106 19.1827 57.5482 0.00000 0.000000 0.00000
2600 13.0000 -8.921058 0.9915 -0.021188 -0.113143 0.015640 19.1827 57.5482 0.00000 0.000000 0.00000
2800 14.0000 -8.933833 1.0017 -0.018280 -0.071909 0.046493 19.1827 57.5482 0.00000 0.000000 0.00000
3000 15.0000 -8.953982 1.0058 -0.084914 -0.079787 0.007029 19.1827 57.5482 0.00000 0.000000 0.00000
3200 16.0000 -8.972313 0.9961 -0.070624 -0.099613 -0.031956 19.1827 57.5482 0.00000 0.000000 0.00000
3400 17.0000 -8.955258 1.0133 -0.099534 -0.103169 0.015892 19.1827 57.5482 0.00000 0.000000 0.00000
3600 18.0000 -8.940973 1.0061 -0.090958 -0.077386 -0.006905 19.1827 57.5482 0.00000 0.000000 0.00000
3800 19.0000 -8.937419 1.0068 -0.062028 -0.061074 -0.006516 19.1827 57.5482 0.00000 0.000000 0.00000
4000 20.0000 -8.928246 0.9930 -0.091142 -0.069717 -0.006780 19.1827 57.5482 0.00000 0.000000 0.00000
4200 21.0000 -8.958772 1.0052 -0.069145 -0.057869 -0.036533 19.1827 57.5482 0.00000 0.000000 0.00000
4400 22.0000 -8.952091 1.0009 0.026290 -0.029774 0.033028 19.1827 57.5482 0.00000 0.000000 0.00000
4600 23.0000 -8.975651 0.9785 -0.041914 -0.072591 -0.042686 19.1827 57.5482 0.00000 0.000000 0.00000
4800 24.0000 -8.955257 0.9951 0.043406 0.011860 -0.008280 19.1827 57.5482 0.00000 0.000000 0.00000
5000 25.0000 -8.967331 0.9892 -0.057422 -0.046365 0.061797 19.1827 57.5482 0.00000 0.000000 0.00000
5200 26.0000 -8.979007 1.0011 -0.006138 -0.095580 -0.012442 19.1827 57.5482 0.00000 0.000000 0.00000
5400 27.0000 -8.964479 0.9865 -0.072512 -0.053126 -0.007805 19.1827 57.5482 0.00000 0.000000 0.00000
5600 28.0000 -8.945466 1.0153 -0.007575 -0.064905 0.066994 19.1827 57.5482 0.00000 0.000000 0.00000
5800 29.0000 -8.949377 1.0166 -0.008156 -0.032060 0.057800 19.1827 57.5482 0.00000 0.000000 0.00000
6000 30.0000 -8.933743 1.0012 -0.095591 -0.029043 -0.006875 19.1827 57.5482 0.00000 0.000000 0.00000
6200 31.0000 -8.933292 1.0033 -0.121806 -0.103874 -0.084218 19.1827 57.5482 0.00000 0.000000 0.00000
6400 32.0000 -8.928876 1.0010 -0.036085 -0.077486 0.026478 19.1827 57.5482 0.00000 0.000000 0.00000
6600 33.0000 -8.938525 1.0214 -0.028736 0.009359 0.063559 19.1827 57.5482 0.00000 0.000000 0.00000
6800 34.0000 -8.966222 1.0094 -0.056209 -0.052888 0.009151 19.1827 57.5482 0.00000 0.000000 0.00000
7000 35.0000 -8.962981 0.9951 -0.085218 -0.065816 -0.007307 19.1827 57.5482 0.00000 0.000000 0.00000
7200 36.0000 -8.972660 0.9962 -0.067481 -0.099873 0.013752 19.1827 57.5482 0.00000 0.000000 0.00000
7400 37.0000 -8.950289 0.9919 -0.026488 -0.052860 0.035072 19.1827 57.5482 0.00000 0.000000 0.00000
7600 38.0000 -8.968923 0.9966 -0.106947 -0.086292 -0.014079 19.1827 57.5482 0.00000 0.000000 0.00000
7800 39.0000 -8.965266 0.9951 -0.036671 -0.043784 0.033820 19.1827 57.5482 0.00000 0.000000 0.00000
8000 40.0000 -8.991654 0.9940 -0.134625 -0.092166 -0.062623 19.1827 57.5482 0.00000 0.000000 0.00000
8200 41.0000 -8.976015 1.0093 -0.055380 -0.124097 -0.041342 19.1827 57.5482 0.00000 0.000000 0.00000
8400 42.0000 -8.963947 1.0108 -0.085153 -0.068163 -0.008154 19.1827 57.5482 0.00000 0.000000 0.00000
8600 43.0000 -8.975744 0.9942 -0.127004 -0.128789 -0.009096 19.1827 57.5482 0.00000 0.000000 0.00000
8800 44.0000 -8.981701 0.9957 -0.083906 -0.102505 -0.000797 19.1827 57.5482 0.00000 0.000000 0.00000
9000 45.0000 -8.947426 0.9886 -0.039781 0.010427 0.069394 19.1827 57.5482 0.00000 0.000000 0.00000
9200 46.0000 -8.997141 1.0051 -0.110642 -0.116801 0.005410 19.1827 57.5482 0.00000 0.000000 0.00000
9400 47.0000 -8.982570 1.0016 -0.051664 -0.028808 0.043405 19.1827 57.5482 0.00000 0.000000 0.00000
9600 48.0000 -8.974734 1.0056 -0.045454 -0.015682 0.034641 19.1827 57.5482 0.00000 0.000000 0.00000
9800 49.0000 -8.975062 0.9936 -0.046375 -0.085536 -0.018720 19.1827 57.5482 0.00000 0.000000 0.00000
