# step time Epot/N T Pxx Pyy Pzz Lx Lz gap comF areaperlipid
0 0.0000 -7.274360 1.0190 2.810594 2.655470 2.667963 16.7577 50.2730 0.00000 0.000000 0.00000
200 1.0000 -8.338515 1.0418 -0.159757 -0.135894 -0.068900 16.7577 50.2730 0.00000 0.000000 0.00000
400 2.0000 -8.398851 1.0203 -0.259514 -0.173831 -0.117511 16.7577 50.2730 0.00000 0.000000 0.00000
600 3.0000 -8.492575 1.0144 -0.181290 -0.171180 -0.061365 16.7577 50.2730 0.00000 0.000000 0.00000
800 4.0000 -8.583259 0.9936 -0.120451 -0.167230 -0.007498 16.7577 50.2730 0.00000 0.000000 0.00000
1000 5.0000 -8.678046 0.9858 -0.106313 -0.120233 0.069622 16.7577 50.2730 0.00000 0.000000 0.00000
1200 6.0000 -8.816481 0.9890 -0.091760 -0.141269 -0.146688 16.7577 50.2730 0.00000 0.000000 0.00000
1400 7.0000 -8.820446 1.0122 -0.132705 -0.065391 -0.013650 16.7577 50.2730 0.00000 0.000000 0.00000
1600 8.0000 -8.843682 1.0105 -0.030569 -0.089060 -0.001458 16.7577 50.2730 0.00000 0.000000 0.00000
1800 9.0000 -8.860463 0.9954 -0.085216 -0.087868 0.017082 16.7577 50.2730 0.00000 0.000000 0.00000
2000 10.0000 -8.894208 1.0231 -0.080007 -0.092830 -0.028458 16.7577 50.2730 0.00000 0.000000 0.00000
2200 11.0000 -8.876439 0.9977 -0.048428 0.013385 0.060794 16.7577 50.2730 0.00000 0.000000 0.00000
2400 12.0000 -8.899536 1.0258 -0.070080 -0.097816 -0.046463 16.7577 50.2730 0.00000 0.000000 0.00000
2600 13.0000 -8.876889 0.9940 -0.075057 -0.083558 0.012895 16.7577 50.2730 0.00000 0.000000 0.00000
2800 14.0000 -8.873935 0.9935 -0.084111 -0.113675 0.054829 16.7577 50.2730 0.00000 0.000000 0.00000
3000 15.0000 -8.889571 1.0311 -0.043005 -0.074717 -0.043820 16.7577 50.2730 0.00000 0.000000 0.00000
3200 16.0000 -8.918767 1.0088 -0.138270 -0.065618 0.006395 16.7577 50.2730 0.00000 0.000000 0.00000
3400 17.0000 -8.921644 1.0261 -0.066048 -0.142348 -0.063477 16.7577 50.2730 0.00000 0.000000 0.00000
3600 18.0000 -8.877324 0.9927 -0.134888 -0.097027 -0.001181 16.7577 50.2730 0.00000 0.000000 0.00000
3800 19.0000 -8.873544 0.9963 -0.132339 -0.139331 -0.085796 16.7577 50.2730 0.00000 0.000000 0.00000
4000 20.0000 -8.868379 0.9744 -0.120437 -0.099268 -0.050976 16.7577 50.2730 0.00000 0.000000 0.00000
4200 21.0000 -8.927584 1.0085 -0.127113 -0.120598 -0.075378 16.7577 50.2730 0.00000 0.000000 0.00000
4400 22.0000 -8.922528 1.0049 -0.119475 -0.014578 0.079916 16.7577 50.2730 0.00000 0.000000 0.00000
4600 23.0000 -8.916200 0.9787 -0.011767 -0.116479 -0.070501 16.7577 50.2730 0.00000 0.000000 0.00000
4800 24.0000 -8.934604 1.0148 -0.048939 -0.067590 -0.018200 16.7577 50.2730 0.00000 0.000000 0.00000
5000 25.0000 -8.899619 0.9756 0.011787 -0.038350 0.121491 16.7577 50.2730 0.00000 0.000000 0.00000
5200 26.0000 -8.950485 1.0099 -0.060168 -0.057260 0.040423 16.7577 50.2730 0.00000 0.000000 0.00000
5400 27.0000 -8.917033 0.9898 0.009417 -0.105039 -0.068440 16.7577 50.2730 0.00000 0.000000 0.00000
5600 28.0000 -8.895203 1.0014 -0.016758 -0.006144 0.095761 16.7577 50.2730 0.00000 0.000000 0.00000
5800 29.0000 -8.887675 0.9916 -0.091889 0.039511 0.081239 16.7577 50.2730 0.00000 0.000000 0.00000
6000 30.0000 -8.894178 0.9892 -0.025098 -0.127460 -0.037918 16.7577 50.2730 0.00000 0.000000 0.00000
6200 31.0000 -8.872152 0.9786 -0.076316 -0.062747 0.042565 16.7577 50.2730 0.00000 0.000000 0.00000
6400 32.0000 -8.892022 0.9855 -0.101107 -0.147606 -0.069409 16.7577 50.2730 0.00000 0.000000 0.00000
